Paid on Delivery
606.161743 -19.412016 -321.859192
616.094910 -18.345613 -323.574371
625.935913 -17.285732 -325.427551
635.177429 -16.408451 -329.276154
644.564026 -16.577831 -333.736420
653.516357 -15.435597 -338.603302
662.064758 -14.638991 -343.791840
670.775757 -14.036280 -349.139587
679.469604 -13.874186 -354.649170
684.559509 -13.071734 -363.461975
686.837097 -13.255431 -373.559906
687.451904 -12.014935 -383.634125
689.244446 -11.561893 -393.590637
692.417297 -13.287982 -403.102905
695.887085 -14.025504 -412.466339
699.362305 -15.442027 -421.827667
702.991516 -16.077812 -431.366547
706.585632 -17.060120 -440.665771
710.240967 -20.309145 -449.532074
716.452637 -21.096964 -457.590485
724.638977 -21.836803 -463.375214
733.371887 -22.311800 -468.281433
742.152832 -22.311800 -473.134827
751.002808 -22.035851 -478.026459
759.233643 -21.799089 -483.728699
766.677551 -21.799089 -490.710114
773.852356 -21.799099 -497.828613
780.322327 -21.916248 -505.597443
785.882629 -22.745539 -514.209961
788.671814 -22.986038 -523.860840
787.141785 -22.195866 -533.828918
Custom
HailActor Rinna 5
787.004150 -21.957760 -536.223206
